	CCMD34381688ST-21-0	G78505	G88884	G88970	G89027	H2M514903	H3M518116	HD-1	HD-5	HV-6	LD-48	M1.48.ST	M2.48.ST	M2.58.ST	N021	S353	SID530054	SZAXPI003417-4	T2D-025	T2D-063	T2D-105	YSZC12003_36795
UniRef90_C7GDE2	-2	-3	-1	-3	-3	-3	1	1	-2	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3
UniRef90_C7GDM5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_C7GDQ5	-3	-3	1	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-1
UniRef90_C7GET5	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7GEU3	-1	-2	1	1	-2	1	-1	1	1	-2	1	-3	-2	-2	-1	1	-1	-3	1	-3	-2	-1
UniRef90_C7GF89	-2	-3	-2	-3	-3	-3	-3	1	-3	-2	-3	-3	-3	-3	-3	-1	-2	-3	-3	-3	1	-1
UniRef90_C7GFR3	-3	-3	1	1	-3	-2	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_C7GG84	-1	-1	-3	-3	-3	-3	1	-1	-3	1	1	-3	-3	-3	-3	-3	1	1	-3	1	1	-1
UniRef90_C7GG95	1	-3	1	1	-2	-2	-3	-2	-1	-1	-3	-3	-3	-3	-3	-1	1	-3	-3	1	-3	-1
UniRef90_C7GGA4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_C7GH38	-3	-3	-2	-3	-3	-3	-3	1	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7GHL3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3
UniRef90_C7GHL8	1	-3	1	1	1	-3	-1	-1	1	-3	-3	-3	-1	-3	-3	-3	-3	1	1	-3	-2	-3
UniRef90_C7GHT9	-3	-2	1	1	-3	-1	-2	1	-3	-3	-3	-3	1	-3	-3	-3	-3	1	1	-3	-2	-3
UniRef90_C7GHW0	-3	1	-1	-2	-3	-3	-3	1	1	-3	1	-3	-3	-3	-3	-2	-3	-1	1	-2	1	1
UniRef90_C7GHW3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3
UniRef90_C7GI03	-1	-2	-1	-1	-1	1	-2	-1	-1	-1	1	-2	-3	-3	-1	-1	-1	-1	-1	1	1	-1
UniRef90_C7H1C9	-1	-3	-1	-1	-2	1	-1	1	-1	1	-1	-3	-3	-2	-1	1	1	-2	1	-3	-2	-1
UniRef90_C7H1D1	-1	-3	-1	1	-2	-1	1	1	-1	1	1	-2	1	1	1	-1	-1	1	1	-3	-2	-1
UniRef90_C7H2T7	-3	-3	-3	-3	-3	1	-1	1	-1	1	1	-3	-3	1	-3	-2	-1	-2	-2	-3	-3	1
UniRef90_C7H3I1	-1	-3	-1	-1	1	-1	-2	1	-1	1	-1	-2	1	-1	-1	-1	-1	1	1	-3	-1	-1
UniRef90_C7H5A0	1	-2	-2	1	-3	-1	1	-1	-1	1	-1	-3	-2	-2	1	-2	-1	-2	1	-2	-2	1
UniRef90_C7H6D7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6D9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6E0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6E2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6E4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6E8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6E9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6F2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6F3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6F4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6F6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6G1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6G3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6G4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6G5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6G6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6G9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6H0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6H1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6H2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6H3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6H4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6H7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6H8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6H9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6I0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6I1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6I2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6I3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6I4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6I5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6I6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6I7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6I8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6I9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6J0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6J2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6J3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6J5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6J6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6J7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6J9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6K0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C7H6R1	1	-3	1	-2	-2	-2	-3	1	1	-1	1	-3	-3	1	-1	1	1	-3	1	1	-2	-1
UniRef90_C7H6T0	1	-3	1	-3	-2	-2	-2	1	-1	-1	1	-3	-3	1	1	-2	1	-3	1	-3	-3	1
UniRef90_C7H6T3	1	-3	-1	-2	-2	1	-2	1	-1	-1	-1	-2	-2	1	-1	-2	-1	-3	1	-2	-2	-1
UniRef90_C7H6U5	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-2	1	-2	-1	-1	-1	-2	-1	-2	-2	-1
UniRef90_C7H6X7	-3	-3	-3	-2	-2	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_C7H6X8	-3	-3	-3	-2	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_C7H6X9	-3	-3	-3	-2	-2	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-2
UniRef90_C7H6Y0	-3	-3	-3	-2	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2
UniRef90_C7H6Y1	1	-3	1	1	1	1	-3	1	-1	1	1	-2	-2	-3	-2	-2	-1	1	1	-3	-2	-1
UniRef90_C7H716	1	-2	1	1	-3	-2	-2	-3	-3	-3	1	-3	-3	-3	-3	-3	-2	-2	-3	-3	-3	-2
UniRef90_C7H7K4	-1	-2	1	1	1	-1	-1	-1	-1	1	-1	-3	-3	-2	-1	1	-1	-1	1	-1	-2	-1
UniRef90_C7H7M0	-3	-3	-3	1	-3	-3	-3	1	1	1	1	-3	-3	-3	-1	-3	-1	-2	-3	-3	-3	1
UniRef90_C7H9E9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_C9L4C6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C9L4C7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C9L4D8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C9L4E5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C9L4G0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C9L4G3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C9L6J1	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-2	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3
UniRef90_C9L7G1	-1	-2	-2	1	-3	-1	-1	1	1	1	1	-2	-3	-3	-1	-3	-1	1	1	-2	-3	-1
UniRef90_C9L7J1	1	-2	-1	-3	1	1	1	1	-1	-1	-1	-2	-2	1	-1	1	1	-3	1	1	-2	-1
UniRef90_C9L7J3	1	-3	-1	-2	-2	1	-2	1	-1	-1	-1	-3	-2	1	-1	-2	-1	-3	1	-2	-2	1
UniRef90_C9L7J4	1	-3	-1	-2	-2	1	-2	1	-1	-1	-1	-3	-2	1	-1	1	1	-3	1	-2	-2	1
UniRef90_C9LAK2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	1	-3
UniRef90_C9LAK4	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	1	-3
UniRef90_C9LBX9	-3	-3	-3	-3	-2	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	1	1	-3	-3
UniRef90_C9LBZ0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3
UniRef90_C9LCK8	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	1	-3	-3	-3	-3	-3
UniRef90_C9YME1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-2	1	-2	-1	1	-1	-3	-1	1	-2	-1
UniRef90_C9YMF1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-3	-1	1	-2	-1
UniRef90_C9YMF2	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-2	-1	1	-2	-1
UniRef90_D0VWU2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_D0VX02	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_D0VX10	-3	1	-3	-3	1	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D1PJ38	1	-2	1	1	1	-1	-2	1	1	-2	-1	-3	-3	-3	-1	1	-1	1	1	-2	1	-1
UniRef90_D3AGE9	-3	-2	-2	-3	-3	-2	-3	-3	-3	-2	-3	-3	1	1	-3	-2	-1	-3	-2	1	-3	-1
UniRef90_D3AGF1	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-2	-2	-2	1	-3	-3	-3	-3	1
UniRef90_D3AQS6	1	1	1	-2	-2	-1	-1	-1	-1	1	-1	-2	-2	1	-1	1	-1	-1	1	1	1	-1
UniRef90_D3AUQ8	-2	-3	1	-3	-3	1	-3	1	1	-2	-1	-3	-2	-3	-1	1	-1	-1	1	1	1	-1
UniRef90_D4C6G3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4C6G4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4C6H0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4C6H5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4C6N2	1	1	1	-2	-2	-1	-1	-1	-1	-1	-1	-3	-2	1	-1	1	-1	-1	1	1	1	-1
UniRef90_D4C8E1	-3	-3	-3	-3	-3	-3	1	-2	-3	-3	1	-3	-3	1	-3	1	-3	-3	-3	-3	-3	-3
UniRef90_D4C8E2	-3	-2	1	-3	-2	1	-1	-1	-2	1	-1	-3	1	1	-3	1	1	1	-1	-3	-2	1
UniRef90_D4C9U9	-3	-3	-1	-3	1	-3	-3	-1	-3	1	1	-3	1	-2	1	-2	1	1	-3	-2	-3	-2
UniRef90_D4CBH8	-3	-3	-3	-3	-3	1	-3	-3	-2	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4CC85	-3	-3	-1	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-1
UniRef90_D4IZF5	1	1	1	1	1	-2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_D4J3R6	-1	1	1	1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1
UniRef90_D4J494	-2	-3	-3	1	-3	-2	-2	-3	1	-3	-3	-2	-3	-3	-2	-1	1	1	1	-3	-3	-1
UniRef90_D4J497	1	-2	-3	1	-3	-3	-3	-2	1	-2	-3	1	-3	-3	-2	-1	-1	1	1	-3	-3	-1
UniRef90_D4J4C3	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
UniRef90_D4J4E9	1	-3	1	-3	1	-3	-3	1	-3	1	-3	-3	1	1	-1	-1	-3	-1	-1	-3	-2	1
UniRef90_D4J5W5	-1	-3	-2	-2	1	1	-3	-2	-3	-3	-3	-3	1	-1	-2	-2	-1	-3	-3	1	-3	1
UniRef90_D4J5W6	-1	-3	-2	-2	-2	1	-3	-3	-3	-3	-3	-3	1	-1	-2	-2	-1	-3	-3	1	-3	1
UniRef90_D4J5W9	-1	-3	-3	-2	-2	1	-3	-3	-3	-3	-3	-3	1	-1	-3	-2	-1	-3	-3	-3	-3	-1
UniRef90_D4J5X4	-1	-3	-2	-2	1	1	-3	1	-3	-3	-3	-3	1	-1	-2	1	-1	-3	-3	1	-3	1
UniRef90_D4J5X8	-1	-3	1	-2	1	1	-3	1	-3	-3	-3	-3	1	-1	1	1	-1	-3	-3	1	-3	-1
UniRef90_D4J5Y3	-1	-3	-2	-2	1	-1	-2	1	-3	-3	-3	-3	1	-1	-2	1	-1	-3	-3	1	-3	-1
UniRef90_D4J5Y4	-1	-3	-2	-2	1	1	-3	1	-3	-3	-3	-3	1	-1	-2	1	-1	-3	-3	1	-3	-1
UniRef90_D4J5Y5	-1	-3	-2	-2	1	1	-3	1	-3	-3	-3	-3	1	-1	-2	-2	-1	-3	-3	1	-3	1
UniRef90_D4J5Y7	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-1	-3	-3	1	-3	-3	1	-3	-1
UniRef90_D4J5Y8	-1	-3	-3	-2	-2	-3	-3	-3	-3	-3	-3	-3	1	-1	-3	-2	-1	-3	-3	1	-3	1
UniRef90_D4J611	-1	-3	-3	-3	-2	1	-3	-3	-3	-3	-3	-3	1	-1	-2	-2	-1	-3	-3	1	-3	-1
UniRef90_D4J612	-1	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-1	-3	-3	1	-3	1
UniRef90_D4J625	-3	-3	1	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	1	-1	-3	-3	-3	-3	1
UniRef90_D4J629	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-1	-3	-3	-3	-3	1
UniRef90_D4J631	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-1	-3	-3	-3	-3	1
UniRef90_D4J636	1	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-1	-3	-3	-3	-3	1
UniRef90_D4J638	1	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-1	-3	-3	-3	-3	1
UniRef90_D4J670	-3	-3	-3	-3	-3	-3	-2	-3	1	-3	1	-3	-3	-3	1	-3	-3	1	1	-3	1	-3
UniRef90_D4J6P6	-1	-3	-2	-2	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-1	-1	-3	-3	-3	-1
UniRef90_D4J6P8	-1	-3	-2	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-1	-1	-3	-3	-3	-1
UniRef90_D4J6Q7	-1	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-1	-1	-3	-3	-3	-1
UniRef90_D4J6Q8	-1	-3	-2	-2	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-1	-1	-3	-3	-3	-1
UniRef90_D4J6Q9	-1	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	1	-1	-1	-3	-3	-3	-1
UniRef90_D4J9B8	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	1	-2	-3	-3	-3	-3
UniRef90_D4J9C1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	1	1	-3	-2	-3	-3
UniRef90_D4J9C6	-3	-2	1	1	-2	1	1	-2	-1	-2	1	-2	-2	-3	1	-3	-1	1	-3	-3	-2	-2
UniRef90_D4J9C8	-3	-2	-1	1	-2	1	1	-2	-1	-2	1	-2	-2	-3	1	-2	1	1	-3	-3	-3	1
UniRef90_D4JA83	-1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	1	-3	-3	-3	-1
UniRef90_D4JA84	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	1	-3	-3	-3	1
UniRef90_D4JAY3	-1	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-2	-1	-3	-3	-3	-3	-2
UniRef90_D4JB62	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	-2	-3	-2	-1	-1	-1	-1	1	1	-1	-1
UniRef90_D4JB63	1	1	1	1	1	-1	-1	-1	1	1	-1	-3	-3	-2	-1	1	-1	-1	1	-2	1	-1
UniRef90_D4JB76	1	-3	-3	1	-3	-1	-3	1	-1	1	1	-3	-2	-3	-1	-2	-1	1	1	-2	1	1
UniRef90_D4JBI5	-1	-2	-1	-3	-1	-3	-1	-2	-2	-2	1	-3	-2	-2	-2	1	-1	1	1	-2	1	-1
UniRef90_D4JBJ4	1	-2	1	-3	-2	-3	-2	-2	-2	-3	-2	-2	1	-2	-2	-2	-2	-3	-3	-2	-3	1
UniRef90_D4JD40	1	-2	-1	-1	-1	-2	1	1	1	-1	1	-3	1	1	-1	-1	-1	1	1	-3	-3	-1
UniRef90_D4JD44	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4JD89	1	-3	1	1	-2	-3	-3	1	-1	-1	-3	-3	-3	-3	-3	-1	1	-3	-3	1	-3	-1
UniRef90_D4JD93	-1	-2	-1	-1	1	1	-3	-1	-1	-1	1	-2	-3	-3	1	-1	-1	-1	-1	1	1	-1
UniRef90_D4JDI5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4JDI7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4JDI8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4JDJ7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4JDK0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4JDK1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3
UniRef90_D4JDK2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-2
UniRef90_D4JDK3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3
UniRef90_D4JDK4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3
UniRef90_D4JDK6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-2
UniRef90_D4JDK7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3
UniRef90_D4JDK9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3
UniRef90_D4JDL0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3
UniRef90_D4JDL1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4JDL3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4JDL4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3
UniRef90_D4JDL5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4JDL6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4JDL7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4JDL9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4JDM1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_D4JE85	-3	-2	-3	-3	-3	-3	-3	-3	-3	1	-1	-3	-3	-3	1	-1	-1	1	-3	-3	-3	-2
UniRef90_D4JEA0	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	1	-1	-3	-3	-3	-3	1
